Farm_ID,Year,State,Crop_Type,Season,Area_Planted_Hectares,Avg_Temperature_C,Total_Rainfall_mm,Humidity_Percent,Soil_pH,Nitrogen_Content_ppm,Phosphorus_Content_ppm,Potassium_Content_ppm,Organic_Matter_Percent,Soil_Quality_Score,Fertilizer_Used_kg_per_hectare,Fertilizer_Type,Pesticide_Used_kg_per_hectare,Irrigation_Type,Irrigation_Frequency_per_month,Seed_Variety,Yield_per_Hectare_tons,Total_Yield_tons
IND_MAD_0001,2019,Madhya Pradesh,Soybean,Kharif,3.99,35.6,959.2,58.6,7.0,32.2,32.6,176.9,2.4,8.0,101.5,Mixed,5.7,Canal,25,High Yielding Variety,0.65,2.59
IND_AND_0002,2019,Andhra Pradesh,Rice,Kharif,0.5,31.8,674.7,66.9,7.5,24.1,8.7,201.3,2.6,7.4,63.0,Mixed,5.3,Canal,25,Hybrid,1.13,0.56
IND_AND_0003,2018,Andhra Pradesh,Groundnut,Kharif,0.7,25.2,1069.3,78.0,6.7,31.5,15.2,214.8,2.8,6.0,152.9,Organic,1.9,Rain-fed,0,Hybrid,0.49,0.34
IND_KAR_0004,2020,Karnataka,Cotton,Kharif,0.5,29.1,747.9,80.9,7.4,33.6,17.6,98.3,2.2,6.4,162.3,NPK,9.7,Sprinkler,18,Traditional,0.29,0.14
IND_RAJ_0005,2023,Rajasthan,Wheat,Rabi,3.65,17.2,594.1,56.1,6.6,42.3,28.2,182.6,2.1,6.4,133.3,Mixed,12.9,Canal,20,High Yielding Variety,1.67,6.1
IND_MAH_0006,2020,Maharashtra,Bajra,Kharif,2.63,26.2,660.1,68.1,8.4,34.1,28.0,162.7,2.3,7.6,181.5,NPK,7.8,Canal,9,Hybrid,0.71,1.87
IND_HAR_0007,2021,Haryana,Barley,Rabi,0.5,16.5,387.8,68.2,7.3,31.4,20.7,80.4,2.6,8.4,179.1,NPK,5.4,Drip,20,Traditional,2.44,1.22
IND_WES_0008,2022,West Bengal,Rice,Kharif,2.0,34.1,1846.5,82.3,7.5,28.6,24.1,153.4,3.6,7.0,106.9,DAP,6.0,Rain-fed,0,Hybrid,0.56,1.12
IND_TAM_0009,2023,Tamil Nadu,Sugarcane,Annual,3.59,25.1,1055.4,77.1,5.9,30.0,17.3,121.9,2.7,7.6,195.4,NPK,8.9,Canal,15,High Yielding Variety,89.45,321.13
IND_AND_0010,2022,Andhra Pradesh,Cotton,Kharif,2.85,41.3,651.1,59.6,7.2,35.7,39.7,143.3,3.0,7.3,73.3,DAP,13.7,Rain-fed,0,Traditional,0.19,0.54
